"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"MUS",3115,"Music In America",32,36,38,6,2,2.85,114
"MUS",3135,"Hist/Analy Mus Styles",5,14,4,0,0,3.03,23
"MUS",3145,"Mus Styles Lit Lab",11,9,3,0,0,3.33,23
"MUS",3225,"Conducting",6,6,0,0,0,3.55,12
"MUS",3314,"Instrumental Ensemble Music",593,0,1,0,0,3.98555555555556,594
"MUS",3314,"TS:Jazz Combos",11,0,0,0,0,4,11
"MUS",3314,"TS:L2ORK",11,1,1,0,0,3.75,13
"MUS",3314,"TS:Low Brass",23,0,0,0,0,3.96,23
"MUS",3314,"TS:NRVSO",57,0,0,0,0,4,57
"MUS",3414,"Choral Ensemble Music",117,7,2,0,0,3.88,126
"NANO",1015,"Introduction to Nanoscience",49,16,1,0,1,3.65,67
"NANO",2114,"Nanoscience Research Seminar",26,3,1,3,1,3.48,34
"NANO",3114,"Prof Dissemination Nano Res",8,2,0,0,0,3.86,10
"NEUR",1004,"Neur Orientation Seminar",52,6,0,0,0,3.84,58
"NEUR",2025,"Introduction to Neuroscience",23,33,21,2,2,2.9,81
"NEUR",2984,"SS:Neuroscience Laboratory",29,58,5,1,3,3.178,96
"NEUR",3084,"Cognitive Neuroscience",9,17,2,1,1,3.09,30
"NR",1115,"Seeking Sustainability",12,6,6,0,0,3.24,24
"NR",1234,"FYE Nat Resources & Environ",44,20,6,0,0,3.5425,70
"NR",2004,"Intro Water Resources",6,4,2,0,0,3.36,12
"NR",4105,"Leadership Natural Resources",11,1,0,0,0,3.89,12
"NR",5114,"Global Issues Natural Resource",36,7,0,0,0,3.83,43
"NR",5724,"Conservation Ecology",13,0,0,0,0,3.95,13
"NR",5864,"Sustainability Science",24,7,0,0,0,3.71,31
"NR",5884,"TS: Human-Wildlife Conflicts",14,0,0,0,0,3.96,14
"NR",5884,"TS: Infrastruct for Resilience",15,0,0,0,0,4,15
"NR",5884,"TS: Inter'l Envir Law & Policy",13,0,0,0,0,3.95,13
"NR",5884,"TS: Professional Practice",11,16,0,0,0,3.47,27
"NR",5884,"TS: Water and Conflict",12,0,0,0,0,4,12
"NR",5884,"TS:Landscape Systm & Strategy",13,1,0,0,0,3.84,14
"NR",5884,"TS:Watershed Stewardship",15,0,0,0,0,4,15
"NSEG",3145,"Fundamentals of Nuclear Engr",49,35,6,0,0,3.42,90
"PAPA",5014,"Concepts Publ Adm",17,9,0,0,0,3.65,26
"PAPA",5044,"Local Govt & Prof Mgr",14,0,0,0,0,3.96,14
"PAPA",5316,"System Skills for Managers",10,2,0,0,0,3.83,12
"PAPA",5544,"Publ Non-Prof Fin Mgt",14,1,0,0,0,3.91,15
"PAPA",6214,"Public Policy Process",2,8,0,0,0,3.23,10
"PAPA",6314,"Bud Proc & Policy",14,2,0,0,0,3.82,16
"PAPA",6414,"Normative Foundations",35,12,0,0,0,3.64666666666667,47
"PHIL",1204,"Knowledge and Reality",111,187,47,7,4,3.0925,356
"PHIL",1304,"Morality and Justice",144,177,52,3,6,3.16933333333333,382
"PHIL",1504,"Language and Logic",31,34,9,7,1,3.025,82
"PHIL",2115,"Ancient/Medieval Phil",13,35,10,2,0,2.99,60
"PHIL",2126,"History of Modern Philosophy",11,14,2,0,2,3.19,29
"PHIL",2304,"Global Ethics",205,104,11,5,2,3.5775,327
"PHIL",3024,"TS:Philosophy of Technology",12,3,0,1,0,3.61,16
"PHIL",3454,"Philosophy of Religion",9,5,0,0,0,3.58,14
